epoch,epoch_time,compilation_time,run_name,framework,model_name,image_size,batch_size,trial_num
2,343.9406530857086,0.56198,inceptionresnetv2_size299_batch12_trial_2,pytorch,inceptionresnetv2,299,12,2
3,343.9613139629364,0.56198,inceptionresnetv2_size299_batch12_trial_2,pytorch,inceptionresnetv2,299,12,2
4,343.6987292766571,0.56198,inceptionresnetv2_size299_batch12_trial_2,pytorch,inceptionresnetv2,299,12,2
0,164.2405536174774,0.42273,resnet50_size299_batch16_trial_0,pytorch,resnet50,299,16,0
1,164.06395626068115,0.42273,resnet50_size299_batch16_trial_0,pytorch,resnet50,299,16,0
2,164.1026456356049,0.42273,resnet50_size299_batch16_trial_0,pytorch,resnet50,299,16,0
3,164.08637213706967,0.42273,resnet50_size299_batch16_trial_0,pytorch,resnet50,299,16,0
4,164.17790627479553,0.42273,resnet50_size299_batch16_trial_0,pytorch,resnet50,299,16,0
0,164.27548217773438,0.42693000000000003,resnet50_size299_batch16_trial_1,pytorch,resnet50,299,16,1
1,164.43371725082397,0.42693000000000003,resnet50_size299_batch16_trial_1,pytorch,resnet50,299,16,1
2,164.4886894226074,0.42693000000000003,resnet50_size299_batch16_trial_1,pytorch,resnet50,299,16,1
3,164.4450600147247,0.42693000000000003,resnet50_size299_batch16_trial_1,pytorch,resnet50,299,16,1
4,164.35731720924375,0.42693000000000003,resnet50_size299_batch16_trial_1,pytorch,resnet50,299,16,1
0,164.33206725120544,0.42433000000000004,resnet50_size299_batch16_trial_2,pytorch,resnet50,299,16,2
1,164.3093504905701,0.42433000000000004,resnet50_size299_batch16_trial_2,pytorch,resnet50,299,16,2
2,164.32507395744327,0.42433000000000004,resnet50_size299_batch16_trial_2,pytorch,resnet50,299,16,2
3,164.40427803993225,0.42433000000000004,resnet50_size299_batch16_trial_2,pytorch,resnet50,299,16,2
4,164.42520070075992,0.42433000000000004,resnet50_size299_batch16_trial_2,pytorch,resnet50,299,16,2
0,176.4678611755371,2.24974,densenet121_size299_batch12_trial_0,pytorch,densenet121,299,12,0
1,177.37066531181338,2.24974,densenet121_size299_batch12_trial_0,pytorch,densenet121,299,12,0
2,177.87759470939636,2.24974,densenet121_size299_batch12_trial_0,pytorch,densenet121,299,12,0
3,177.84329891204834,2.24974,densenet121_size299_batch12_trial_0,pytorch,densenet121,299,12,0
4,178.0574188232422,2.24974,densenet121_size299_batch12_trial_0,pytorch,densenet121,299,12,0
0,179.4562485218048,0.16338,densenet121_size299_batch12_trial_1,pytorch,densenet121,299,12,1
1,179.17684936523438,0.16338,densenet121_size299_batch12_trial_1,pytorch,densenet121,299,12,1
2,179.184152841568,0.16338,densenet121_size299_batch12_trial_1,pytorch,densenet121,299,12,1
3,178.36841058731082,0.16338,densenet121_size299_batch12_trial_1,pytorch,densenet121,299,12,1
4,178.67838978767395,0.16338,densenet121_size299_batch12_trial_1,pytorch,densenet121,299,12,1
0,179.00951147079468,0.16539,densenet121_size299_batch12_trial_2,pytorch,densenet121,299,12,2
1,178.8447413444519,0.16539,densenet121_size299_batch12_trial_2,pytorch,densenet121,299,12,2
2,177.92863774299622,0.16539,densenet121_size299_batch12_trial_2,pytorch,densenet121,299,12,2
3,179.18969893455503,0.16539,densenet121_size299_batch12_trial_2,pytorch,densenet121,299,12,2
4,179.6672739982605,0.16539,densenet121_size299_batch12_trial_2,pytorch,densenet121,299,12,2
0,246.46505641937256,0.27458,densenet169_size299_batch8_trial_0,pytorch,densenet169,299,8,0
1,245.23615336418152,0.27458,densenet169_size299_batch8_trial_0,pytorch,densenet169,299,8,0
2,244.4922058582306,0.27458,densenet169_size299_batch8_trial_0,pytorch,densenet169,299,8,0
3,246.9622995853424,0.27458,densenet169_size299_batch8_trial_0,pytorch,densenet169,299,8,0
4,247.04124689102173,0.27458,densenet169_size299_batch8_trial_0,pytorch,densenet169,299,8,0
0,246.72851848602292,0.2734,densenet169_size299_batch8_trial_1,pytorch,densenet169,299,8,1
1,247.94031286239624,0.2734,densenet169_size299_batch8_trial_1,pytorch,densenet169,299,8,1
2,246.18294191360474,0.2734,densenet169_size299_batch8_trial_1,pytorch,densenet169,299,8,1
3,245.57006359100345,0.2734,densenet169_size299_batch8_trial_1,pytorch,densenet169,299,8,1
4,247.14598608016968,0.2734,densenet169_size299_batch8_trial_1,pytorch,densenet169,299,8,1
0,246.69060730934143,0.27224,densenet169_size299_batch8_trial_2,pytorch,densenet169,299,8,2
1,245.25069189071652,0.27224,densenet169_size299_batch8_trial_2,pytorch,densenet169,299,8,2
2,246.29997730255127,0.27224,densenet169_size299_batch8_trial_2,pytorch,densenet169,299,8,2
3,246.22756814956662,0.27224,densenet169_size299_batch8_trial_2,pytorch,densenet169,299,8,2
4,246.3633759021759,0.27224,densenet169_size299_batch8_trial_2,pytorch,densenet169,299,8,2
0,119.36562752723694,2.2926599999999997,inception3_size299_batch32_trial_0,pytorch,inceptionv3,299,32,0
1,119.49906682968141,2.2926599999999997,inception3_size299_batch32_trial_0,pytorch,inceptionv3,299,32,0
2,119.4347460269928,2.2926599999999997,inception3_size299_batch32_trial_0,pytorch,inceptionv3,299,32,0
3,119.46956825256348,2.2926599999999997,inception3_size299_batch32_trial_0,pytorch,inceptionv3,299,32,0
4,119.41911578178406,2.2926599999999997,inception3_size299_batch32_trial_0,pytorch,inceptionv3,299,32,0
0,119.35779666900636,2.06628,inception3_size299_batch32_trial_1,pytorch,inceptionv3,299,32,1
1,119.39772987365723,2.06628,inception3_size299_batch32_trial_1,pytorch,inceptionv3,299,32,1
2,119.37181377410887,2.06628,inception3_size299_batch32_trial_1,pytorch,inceptionv3,299,32,1
3,119.43657326698305,2.06628,inception3_size299_batch32_trial_1,pytorch,inceptionv3,299,32,1
4,119.39039206504822,2.06628,inception3_size299_batch32_trial_1,pytorch,inceptionv3,299,32,1
0,119.30828332901,2.10691,inception3_size299_batch32_trial_2,pytorch,inceptionv3,299,32,2
1,119.33672094345093,2.10691,inception3_size299_batch32_trial_2,pytorch,inceptionv3,299,32,2
2,119.35807371139526,2.10691,inception3_size299_batch32_trial_2,pytorch,inceptionv3,299,32,2
3,119.30655455589294,2.10691,inception3_size299_batch32_trial_2,pytorch,inceptionv3,299,32,2
4,119.33970832824707,2.10691,inception3_size299_batch32_trial_2,pytorch,inceptionv3,299,32,2
0,317.1085863113404,0.5272,inceptionresnetv2_size299_batch16_trial_0,pytorch,inceptionresnetv2,299,16,0
1,318.0553984642029,0.5272,inceptionresnetv2_size299_batch16_trial_0,pytorch,inceptionresnetv2,299,16,0
2,318.2619421482086,0.5272,inceptionresnetv2_size299_batch16_trial_0,pytorch,inceptionresnetv2,299,16,0
3,318.2192690372467,0.5272,inceptionresnetv2_size299_batch16_trial_0,pytorch,inceptionresnetv2,299,16,0
4,318.20546913146967,0.5272,inceptionresnetv2_size299_batch16_trial_0,pytorch,inceptionresnetv2,299,16,0
0,318.69315314292913,0.51327,inceptionresnetv2_size299_batch16_trial_1,pytorch,inceptionresnetv2,299,16,1
1,318.51601457595825,0.51327,inceptionresnetv2_size299_batch16_trial_1,pytorch,inceptionresnetv2,299,16,1
2,318.5572142601013,0.51327,inceptionresnetv2_size299_batch16_trial_1,pytorch,inceptionresnetv2,299,16,1
3,318.39570331573486,0.51327,inceptionresnetv2_size299_batch16_trial_1,pytorch,inceptionresnetv2,299,16,1
4,318.24090981483465,0.51327,inceptionresnetv2_size299_batch16_trial_1,pytorch,inceptionresnetv2,299,16,1
0,318.20162987709045,0.51108,inceptionresnetv2_size299_batch16_trial_2,pytorch,inceptionresnetv2,299,16,2
1,318.0383350849152,0.51108,inceptionresnetv2_size299_batch16_trial_2,pytorch,inceptionresnetv2,299,16,2
2,318.2286629676819,0.51108,inceptionresnetv2_size299_batch16_trial_2,pytorch,inceptionresnetv2,299,16,2
3,318.27109575271606,0.51108,inceptionresnetv2_size299_batch16_trial_2,pytorch,inceptionresnetv2,299,16,2
4,317.97236466407776,0.51108,inceptionresnetv2_size299_batch16_trial_2,pytorch,inceptionresnetv2,299,16,2
0,1207.2970070838928,0.81529,nasnet_size299_batch4_trial_0,pytorch,nasnet,299,4,0
1,1208.7502450942993,0.81529,nasnet_size299_batch4_trial_0,pytorch,nasnet,299,4,0
2,1208.4421634674072,0.81529,nasnet_size299_batch4_trial_0,pytorch,nasnet,299,4,0
3,1209.637035369873,0.81529,nasnet_size299_batch4_trial_0,pytorch,nasnet,299,4,0
4,1208.6424264907835,0.81529,nasnet_size299_batch4_trial_0,pytorch,nasnet,299,4,0
0,1209.2159445285795,0.826,nasnet_size299_batch4_trial_1,pytorch,nasnet,299,4,1
1,1208.2562897205353,0.826,nasnet_size299_batch4_trial_1,pytorch,nasnet,299,4,1
2,1208.4523603916168,0.826,nasnet_size299_batch4_trial_1,pytorch,nasnet,299,4,1
3,1209.3879246711729,0.826,nasnet_size299_batch4_trial_1,pytorch,nasnet,299,4,1
4,1209.3603789806364,0.826,nasnet_size299_batch4_trial_1,pytorch,nasnet,299,4,1
0,1210.214579820633,0.84755,nasnet_size299_batch4_trial_2,pytorch,nasnet,299,4,2
1,1208.8295812606814,0.84755,nasnet_size299_batch4_trial_2,pytorch,nasnet,299,4,2
2,1209.7600796222687,0.84755,nasnet_size299_batch4_trial_2,pytorch,nasnet,299,4,2
3,1210.1712551116946,0.84755,nasnet_size299_batch4_trial_2,pytorch,nasnet,299,4,2
4,1210.3168318271635,0.84755,nasnet_size299_batch4_trial_2,pytorch,nasnet,299,4,2
0,1137.4036061763766,0.7650600000000001,pnasnet_size299_batch4_trial_0,pytorch,pnasnet,299,4,0
1,1135.9402678012848,0.7650600000000001,pnasnet_size299_batch4_trial_0,pytorch,pnasnet,299,4,0
2,1139.848613023758,0.7650600000000001,pnasnet_size299_batch4_trial_0,pytorch,pnasnet,299,4,0
3,1142.0256023406982,0.7650600000000001,pnasnet_size299_batch4_trial_0,pytorch,pnasnet,299,4,0
4,1139.2056293487547,0.7650600000000001,pnasnet_size299_batch4_trial_0,pytorch,pnasnet,299,4,0
0,1143.9425716400144,0.74837,pnasnet_size299_batch4_trial_1,pytorch,pnasnet,299,4,1
1,1139.1033766269686,0.74837,pnasnet_size299_batch4_trial_1,pytorch,pnasnet,299,4,1
2,1140.3757791519165,0.74837,pnasnet_size299_batch4_trial_1,pytorch,pnasnet,299,4,1
3,1140.8611426353455,0.74837,pnasnet_size299_batch4_trial_1,pytorch,pnasnet,299,4,1
4,1139.8641958236694,0.74837,pnasnet_size299_batch4_trial_1,pytorch,pnasnet,299,4,1
0,1140.6993279457092,0.76253,pnasnet_size299_batch4_trial_2,pytorch,pnasnet,299,4,2
1,1138.1367661952972,0.76253,pnasnet_size299_batch4_trial_2,pytorch,pnasnet,299,4,2
2,1137.4365429878235,0.76253,pnasnet_size299_batch4_trial_2,pytorch,pnasnet,299,4,2
3,1139.8739473819733,0.76253,pnasnet_size299_batch4_trial_2,pytorch,pnasnet,299,4,2
4,1144.0234224796295,0.76253,pnasnet_size299_batch4_trial_2,pytorch,pnasnet,299,4,2
0,160.2771589756012,0.40192,resnet50_size299_batch24_trial_0,pytorch,resnet50,299,24,0
1,160.23612809181213,0.40192,resnet50_size299_batch24_trial_0,pytorch,resnet50,299,24,0
2,160.0975029468536,0.40192,resnet50_size299_batch24_trial_0,pytorch,resnet50,299,24,0
3,160.02013826370242,0.40192,resnet50_size299_batch24_trial_0,pytorch,resnet50,299,24,0
4,160.00665545463562,0.40192,resnet50_size299_batch24_trial_0,pytorch,resnet50,299,24,0
0,159.9696133136749,0.40073000000000003,resnet50_size299_batch24_trial_1,pytorch,resnet50,299,24,1
1,159.96373224258426,0.40073000000000003,resnet50_size299_batch24_trial_1,pytorch,resnet50,299,24,1
2,160.04028201103208,0.40073000000000003,resnet50_size299_batch24_trial_1,pytorch,resnet50,299,24,1
3,160.01401114463806,0.40073000000000003,resnet50_size299_batch24_trial_1,pytorch,resnet50,299,24,1
4,160.0025682449341,0.40073000000000003,resnet50_size299_batch24_trial_1,pytorch,resnet50,299,24,1
0,159.95322370529175,0.40254,resnet50_size299_batch24_trial_2,pytorch,resnet50,299,24,2
1,159.96178936958313,0.40254,resnet50_size299_batch24_trial_2,pytorch,resnet50,299,24,2
2,159.9618196487427,0.40254,resnet50_size299_batch24_trial_2,pytorch,resnet50,299,24,2
3,160.01667094230655,0.40254,resnet50_size299_batch24_trial_2,pytorch,resnet50,299,24,2
4,160.0399672985077,0.40254,resnet50_size299_batch24_trial_2,pytorch,resnet50,299,24,2
